index,Address,Categories,City,Cuisines,Menu,Restaurants,Zip Code,Province,$,$$$
815,511 S 8th St,"Vegetarian / Vegan Restaurant,Caf,American Restaurant,Caf̩,Bars & Clubs,Bars & Pubs,Restaurants,Grocery Stores",Sheboygan,Burgers,Tacos,Field to Fork,53081,WI,25,40
1185,1118 League Line Rd,"Mexican Restaurant,Latin American Restaurants,Restaurants,Mexican Restaurants",Conroe,Mexican Restaurants,Tacos,Mama Juanita's Mexican Restaurant,77303,TX,25,40
1222,78480 Highway 111,"Restaurant,Mexican Restaurant and Road,Mexican Restaurant,Road",La Quinta,Mexican,Tacos,Las Casuelas Quinta,92253,CA,50,55
1354,840 E Whittier Blvd,Mexican Restaurant,La Habra,Restaurants,Tacos,El Cholo,90631,La Habra Hts,25,40
1509,3450 N Lincoln Ave,Mexican Restaurant,Chicago,Family Style Restaurants,Tacos,Fernando's Restaurant,60657,IL,25,40
1793,2805 Emerson St,"Seafood Restaurant,Fish Market,Seafood Markets,Food Stores,Butcher Shops,Restaurants,Fish & Seafood Retail,Smoked & Dried Fish & Seafood,Seafood Restaurants",San Diego,Seafood,Tacos,Point Loma Seafoods,92106,CA,25,40
1795,2805 Emerson St,"Seafood Restaurant,Fish Market,Seafood Markets,Food Stores,Butcher Shops,Restaurants,Fish & Seafood Retail,Smoked & Dried Fish & Seafood,Seafood Restaurants",San Diego,Seafood,Tacos,Point Loma Seafoods,92106,CA,25,40
1881,1700 Standiford Ave,"Mexican Restaurant,Restaurants,Banquet Rooms",Modesto,Mexican,Tacos,Chevys Fresh Mex,95350,CA,25,40
2810,5410 E High St,"Restaurants,Mexican Restaurants,Nightclub Desert Ridge,Nightclub,Restaurant",Phoenix,"Mexican, Bar / Lounge / Bottle Service, Regional Mexican",Tacos,Modern Margarita,85054,AZ,0,30
3919,40 Tramway Rd NE,Mexican Restaurant,Albuquerque,Mexican / Southwestern,Tacos,Sandiago's Mexican Grill,87122,NM,25,40
3920,40 Tramway Rd NE,Mexican Restaurant,Albuquerque,Mexican / Southwestern,Tacos,Sandiago's Mexican Grill,87122,NM,25,40
4119,40 Woodbine Ave,"Mexican Restaurant,business services at non",Northport,Mexican,Tacos,Cilantro,11768,Crab Meadow,0,25
4500,5723 Lee Hwy,"Taco Place,Mexican Restaurant,Taco Place and Mexican Restaurant",Arlington,Mexican Restaurants,Tacos,District Taco,22207,VA,0,25
4507,779 Route 340,Mexican Restaurant,Palisades,Latin American Restaurants,Tacos,Zapata Mexican Restaurant,10964,NY,25,40
5134,214 W State St,"Restaurant,Bar,Mexican Restaurant",Media,"Mexican, Contemporary Mexican",Tacos,Diego's Cantina & Tequlia Bar,19063,Glen Riddle,25,40
5354,3939 Cross Creek Rd,"Cuban Restaurant,Mexican Restaurant,Cuban Restaurant Restaurant,Cuban Restaurant and Mexican Restaurant,Restaurants",Malibu,"Californian , Mexican , Latin American , Cuban",Tacos,Caf̩ Habana,90265,CA,25,40
5547,15 Oak St,"New American Restaurant,Restaurant,Food and Beverage,Caterers,Restaurants,Cafeterias,Breakfast Brunch & Lunch Restaurants,,Mexican Restaurants",Rockland,American,Tacos,Cafe Miranda,4841,ME,50,55
6088,1345 Connecticut Ave NW,"Dive Bar,Bar,Dive Bar and Bar Connecticut Avenue - K Street,Dive Bar and Bar,Bars & Clubs,Nightlife,Washington Washington,American Restaurants,Bars,Cocktail Lounges,Taverns,Latin American Restaurants,Mexican Restaurants,Restaurants",Washington,"Bar Food, Pizza,American Restaurants",Tacos,The Big Hunt,20036,DC,0,25
6193,2834 W Cermak Rd,Mexican Restaurant,Chicago,"Mexican, Seafood",Tacos,La Casa de Samuel,60623,IL,25,40
6512,22646 Woodward Ave,"Brewery,Bar,American Restaurant,Detroit",Ferndale,Mexican,Tacos,Woodward Avenue Brewers,48220,MI,25,40
6578,1448 N Gower St,Restaurant,Los Angeles,Contemporary American,Tacos,Eat On Sunset,90028,CA,0,30
6664,11673 Jollyville Rd,"Restaurant,Restaurant Northwest Austin,Restaurants,Corporate Catering,Grocery Stores,Catering",Austin,Asian,Tacos,Eat Out In,78759,TX,50,55
6671,11673 Jollyville Rd,"Restaurant,Restaurant Northwest Austin,Restaurants,Corporate Catering,Grocery Stores,Catering",Austin,Asian,Tacos,Eat Out In,78759,TX,50,55
7512,19751 E Mainstreet,American Restaurant,Parker,Asian Restaurants,Tacos,Elev 5900,80138,CO,25,40
8061,11 Bowens Wharf,Mexican Restaurant,Newport,Latin American Restaurants,Tacos,Diego's,2840,RI,25,40
8247,4 Chaplin St,"Mexican Restaurant,Latin American Restaurants,Restaurant,Restaurants,Mexican Restaurants",Waterville,Latin American Restaurants,Tacos,Buen Apetito,4901,ME,25,40
8399,548 Court St,Mexican Restaurant,Brooklyn,Mexican,Tacos,La Slowteria,11231,NY,25,40
8743,7108 Old Keene Mill Rd,"Mexican Restaurant,Burrito Place,Taco Place,Mexican Restaurant, Burrito Place, and Taco Place",Springfield,Mexican,Tacos,Chipotle Mexican Grill,22150,VA,0,25
9330,10400 Old Georgetown Rd,"Mexican Restaurant,Burrito Place,Taco Place,Restaurant,Mexican Restaurant, Burrito Place, and Taco Place",Bethesda,"Mexican Restaurants,Mexican",Tacos,Chipotle Mexican Grill,20814,MD,0,25
9590,174 Brighton Ave,"Asian Restaurant Brighton,Asian Restaurant",Allston,Japanese Restaurants,Tacos,Teriyaki Joe's,2134,MA,0,25
9669,935 Hoffman St,Mexican Restaurant,Hammond,Take Out Restaurants,Tacos,El Taco Real,46327,IN,25,40
9851,4701 1st Ave SE,"Mexican Restaurant,Burrito Place,Restaurants,Mexican Restaurants",Cedar Rapids,Restaurants,Tacos,Pancheros Mexican Grill,52402,IA,0,25
10192,15950 Eureka Rd,Mexican Restaurant,Southgate,Mexican,Tacos,Mexican Gardens,48195,MI,25,40
10203,710 Route 113,"Mexican Restaurant,Take Out Restaurants,Latin American Restaurants,Restaurant,Restaurants,Mexican Restaurants",Souderton,Latin American Restaurants,Tacos,El Cactus,18964,PA,25,40
10824,3265 100th St,"Burrito Place,Latin American Restaurants,Restaurant,Food and Beverage,Restaurants,Takeout,Mexican Restaurants,Restaurant Menus",Urbandale,Restaurants,Tacos,Pancheros Mexican Grill,50323,IA,0,25
11496,6150 W Cermak Rd,Mexican Restaurant,Cicero,Pub,Tacos,Camaleon,60804,IL,25,40
11565,14925 Shady Grove Rd,"Mexican Restaurant,Burrito Place,Taco Place,Take Out Restaurants,Fast Food Restaurants,Restaurants,Mexican Restaurants",Rockville,"Mexican,Take Out Restaurants",Tacos,Chipotle Mexican Grill,20850,MD,0,25
11706,6309 Mckee Rd,"Mexican Restaurant,Mexican Restaurants,Restaurants",Madison,Mexican Restaurants,Tacos,Pancheros Mexican Grill,53719,WI,25,40
11818,1077 Broxton Ave,"Mexican Restaurant,Burrito Place,Taco Place,Restaurant,Los Angeles",Los Angeles,Mexican,Tacos,Chipotle Mexican Grill,90024,CA,0,25
12394,600 W Hill Ave,Mexican Restaurant,Gallup,Mexican,Tacos,Genaro's,87301,Pinedale,25,40
13813,8905 Melrose Ave,"Mexican Restaurant,Vegetarian / Vegan Restaurant,Restaurant,Mexican Restaurant and Vegetarian / Vegan Restaurant",West Hollywood,"Mexican, Vegan, Organic",Tacos,Gracias Madre,90069,CA,25,40
14010,535 S Lake Ave,"American Restaurants,Restaurant,greek restaurant,Caterers,Restaurants,Hamburgers & Hot Dogs,Family Style Restaurants",Pasadena,American Restaurants,Tacos,Burger Continental,91101,CA,0,30
14011,535 S Lake Ave,"American Restaurants,Restaurant,greek restaurant,Caterers,Restaurants,Hamburgers & Hot Dogs,Family Style Restaurants",Pasadena,American Restaurants,Tacos,Burger Continental,91101,CA,0,30
14331,2915 Schoenersville Rd,"Mexican Restaurant,Mexican Restaurants,Latin American Restaurants,Take Out Restaurants,Caterers,Restaurants,Restaurant",Bethlehem,"Mexican Restaurants,Take Out Restaurants,Mexican",Tacos,Cactus Blue,18017,PA,25,40
14744,11233 Washington Blvd,Mexican Restaurant,Whittier,Restaurants,Tacos,Taqueria El Atacor,90606,CA,0,25
15258,160 E 38th St,"Restaurant,Bar,Mexican Restaurant",New York,Mexican / Southwestern,Tacos,El Rio Grande,10016,Nyc,25,40
15902,7836 Broadway,"Mexican Restaurant,Latin American Restaurants,Restaurant,Caterers,Restaurants,Bar & Grills,Mexican Restaurants",Lemon Grove,Latin American Restaurants,Tacos,El Pollo Grill,91945,CA,0,25
16763,4101 N Bellflower Blvd,Mexican Restaurant,Long Beach,Mexican Restaurants,Tacos,El Burrito Grill,90808,CA,0,25
17271,1309 F St NW,"Taco Place,Mexican Restaurant,Latin American Restaurants,Caterers,Restaurants,Taco Place and Mexican Restaurant,Chicken Restaurants,Taco Place and Mexican Restaurant Downtown-Penn Quarter-Chinatown,Mexican Restaurants,Washington Dc",Washington,"Chicken Restaurants,Mexican",Tacos,District Taco,20004,DC,0,7
17654,1920 Hyperion Ave,"Restaurant,Mexican Restaurant,Mexican Restaurant Silver Lake",Los Angeles,Contemporary American,Tacos,Casita Del Campo,90027,Los Feliz,25,40
18079,2032 Union St,"Caribbean Restaurant,Restaurant,Caribbean Restaurant Union Street",San Francisco,"Caribbean, Californian, Hawaiian",Tacos,Palm House,94123,CA,0,30
18112,47 Park Ave,Mexican Restaurant,Rutherford,Latin American Restaurants,Tacos,Restaurante Azteca,7070,NJ,25,40
18216,1417 Fullerton Ave,Restaurant,Chicago,"American, Contemporary American",Tacos,Knife & Tine,60614,IL,0,30
18558,2463 Demere Rd,"American Restaurants,Bars,Delicatessens,Take Out Restaurants,Sandwich Shops,Mexican Restaurants,Bar & Grills,Family Style Restaurants,Caterers,Taverns,Restaurants,Bars & Pubs,Food & Beverage Delivery Services,Wings Joint, Burger Joint, and Sandwich Place,Bars & Clubs,Pubs,Grill Restaurants,Catering,Delis And Delicatessens,recreation",Saint Simons Island,"American Restaurants,Mexican",Tacos,Locos Grill & Pub,31522,St Simons Is,25,40
18751,3420 Sonoma Blvd,Mexican Restaurant,Vallejo,Mexican Restaurants,Tacos,Tacos Jalisco,94590,CA,0,25
19246,129 N Court St,"Mexican Restaurant,Mexican Restaurant Central Visalia,Mexican & Latin American Grocery Stores,Food Products,Mexican Restaurants,Pizza",Visalia,Pizza,Tacos,Taqueria El Mejor,93291,CA,0,25
