index,Address,Categories,City,Cuisines,Menu,Restaurants,Zip Code,Province,$,$$$
43992,145 Larchmont Ave,"Mexican Restaurant,Bar",Larchmont,Mexican Restaurants,Burritos,Tequila Sunrise,10538,NY,25,40
45974,1449 W Sunset Blvd,Restaurant,Los Angeles,"Mexican, Latin / Spanish, Bar / Lounge / Bottle Service",Burritos,El Compadre - Echo Park,90026,Edendale,0,30
46236,1515 Ocean Ave,"Mexican Restaurant,Restaurant",Santa Monica,"Mexican,Mexican, Latin American",Burritos,Blue Plate Taco,90401,CA,0,30
47759,230 Lewis St S,"Mexican Restaurant,Restaurants",Shakopee,Mexican,Burritos,Pablo's Mexican Restaurant,55379,MN,25,40
48247,311 Plainfield St,Mexican Restaurant,Providence,Latin American Restaurants,Burritos,El Rancho Grande,2909,RI,25,40
48435,20915 W Park Ave,"Restaurant,Restaurants,Breakfast Brunch & Lunch Restaurants,",Mundelein,Restaurants,Burritos,Crossroads of Ivanhoe,60060,IL,25,40
49024,18600 Pioneer Blvd,"Vegetarian / Vegan Restaurant,Indian Restaurant",Artesia,Indian,Burritos,Standard Sweets & Snacks,90701,CA,0,25
49318,3989 Martha Berry Hwy N W,"Latin American Restaurants,Restaurant,Restaurants,Mexican Restaurant,Bar & Grills,Mexican Restaurants",Rome,Latin American Restaurants,Burritos,La Conquista,30165,GA,25,40
49828,7630 Burlington St,"Mexican Restaurant,Take Out Restaurants,Latin American Restaurants,Caterers,Restaurants,Mexican Restaurants",Omaha,"Mexican,Take Out Restaurants",Burritos,Maria's Mexican Restaurant,68127,NE,25,40
51332,2556 N Clark St,"Mexican Restaurant,Taco Place,Burrito Place",Chicago,Mexican Restaurants,Burritos,Angela's Burrito Style,60614,IL,0,25
51678,201 Gay St,"Mexican Restaurant,Latin American Restaurants,Restaurant,Caterers,Restaurants,Mexican Restaurants",Phoenixville,Mexican Restaurants,Burritos,Los Mariachis,19460,PA,25,40
52721,7408 Sunset Blvd,Restaurant,Los Angeles,"Mexican, Latin American",Burritos,El Compadre - Hollywood,90046,CA,0,30
54734,54 Salem St,"Italian Restaurant,Sports Bar,New American Restaurant",Boston,Italian,Burritos,Vito's Tavern,2113,MA,25,40
56472,669 Cedar Ln,"Restaurant,Kosher Restaurants,Take Out Restaurants,Asian Restaurants,Caterers,Restaurants",Teaneck,Kosher Restaurants,Burritos,Kosher Experience,7666,NJ,25,40
57205,410 Peachtree Pkwy,"Mexican Restaurant,Restaurant",Cumming,Mexican,Burritos,Cheeky Taqueria,30041,GA,25,40
57791,222 S Palm Canyon Dr,"Mexican Restaurant,Bar",Palm Springs,Take Out Restaurants,Burritos,Las Casuelas Terraza,92262,Palm Springs Municipal Airpo,50,55
60311,12600 Biscayne Blvd,Restaurant,Miami,Pizza,Burritos,Evios Pizza and Grill,33181,North Miami Beach,0,25
61022,349 Centre St,"Mexican Restaurant Hyde Square,Boston",Jamaica Plain,Mexican,Burritos,Tacos El Charro,2130,MA,12,18
62481,485 Columbus Ave,"Southwestern,Mexican Restaurant Upper West Side,Beverages-Distributors & Bottlers,Mexican Restaurant,Restaurants,Beverages Retail,Southwestern Restaurants",New York,Southwestern,Burritos,Cilantro,10024,Nyc,25,40
62754,5665 Power Inn Rd,Restaurants,Sacramento,Mexican,Burritos,Chamdo's Tacos,95824,CA,0,25
62920,235 E 6th St,Restaurant,Saint Paul,Latin American,Burritos,Barrio - Lowertown,55101,MN,0,30
63802,24201 Valencia Blvd,"Mexican Restaurant,Mexican Restaurants,Latin American Restaurants,Take Out Restaurants,Restaurants",Valencia,Mexican Restaurants,Burritos,Solita Tacos & Margaritas,91355,CA,25,40
64724,1041 S Oxnard Blvd,Mexican Restaurant,Oxnard,Seafood Restaurants,Burritos,Cabo Seafood Grill & Cantina,93030,CA,25,40
65990,7210 Woodlawn Ave N E,Restaurant,Seattle,Contemporary American,Burritos,Rosita's Mexican Grill,98115,Wedgwood,0,30
67644,182 8th Ave,"Mexican Restaurant,Restaurants,Beverages Retail,Mexican Restaurants",New York,Latin American Restaurants,Burritos,Rocking Horse Cafe,10011,NY,25,40
69073,364 W Lake Dr,"Mexican Restaurant,Breakfast Spot,Mexican Restaurant and Breakfast Spot",Montauk,Mexican Restaurants,Burritos,The Hideaway,11954,NY,25,40
73138,800 Spring Mill Ave,"Restaurants,Bars Clubs,Catering",Conshohocken,Mexican,Burritos,Coyote Crossing,19428,West Conshohocken,50,55
73405,4525 Habersham St,Mexican Restaurant and Burrito Place,Savannah,Fast Food Restaurants,Burritos,Barberitos,31405,Hunter Army Air Field,0,25
73808,5300 W Centinela Ave,mexican restaurant,Los Angeles,"Fast Food , Mexican",Burritos,El Pollo Loco,90045,Playa Vista,0,10
75182,7110 Railroad Ave,Mexican Restaurant,Bellevue,Take Out Restaurants,Burritos,Nettie's Fine Mexican Food,68147,NE,25,40
75824,208 S Broadway,Mexican Restaurant,Saratoga Springs,Mexican,Burritos,El Mexicano,12866,NY,25,40
76395,3830 W Lawrence Ave,"Latin American Restaurant,Restaurant",Chicago,South American,Burritos,Mayan Sol Latin Grill,60625,IL,0,30
76908,754 Ninth Ave,Restaurant,New York,"Mexican, American, Traditional Mexican",Burritos,Hell's Kitchen,10019,Nyc,0,30
